måste,must
regnar,rain
bråkar,fighting
vad,what
hugga ved,chop firewood
sing,sjunga
konstiga,strange
jobbiga,annoying
eftersom,since
tycker du om att vara,do you like to be
hos,at
någon,any
förr,before
handlar,deal
pga,due
sjuka,disease
resenärer,travelers
båten,the boat
handeln,trade
flera,several
smittats,infected
dött,dead
drabbas,affected
tas,is
hamnen,port
förlora,lose
framåt,forward
visar,shows
undersökning,investigation
vaktmästare,janitor
bolagen,companies
struntat,ignored
kunder,customers
ersättning,replacement
vanlig,common
arbetsuppgifter,duties
städar,clean
vattengympapass,water aerobics session
lagar middag,cooking dinner
står,stands
låstes,locked
Med vänliga hälsningar,Sincerely
Gränsen,the limit
starkt,strong
trasig,broken
Vart,where
Var,where
Varifrån,from where
tar hissen,take the elevator
oftast,usually
några vänner,some friends
ganska,quite
humör,humor
När,when
fjärde,fourth
våningen,floor
Jag är mycket intresserad av,I am very interested in
jag äter vid datorn,I eat at the computer
trött,tired
drömmer,dream
Tycker,think ( having an opinion)
Tänker,"thinking ( actual process of processing thoughts in your head,  can also refer to your plans or intentions)"
Tror på,Believe in
Tycker om,"Enjoy,  Like"
tröja,sweater
molnigt,cloudy
hinner,have time to
Vad synd,What a shame
vintras,winter
Delvis,partially
När är han ledig?,When is he free?
pinsam,embarrassing
spännande,exciting
läskig,scary
ordförråd,vocabulary
slå upp,search for
företräda,represent
puss,kiss
varför ser du så arg ut,Why do you look so angry
ihåg,remember
bokhylla,bookshelf
Behandlas,"treated,  process, deal with"
vara nöjd,"be happy,  be satisfied "
påstående,statement
en sten,a stone
en strand,a beach
redan,already
Är du redo?,Are you ready?
mörker,darkness
beskriva,describe
sjuk,sick
blåsig,windy
snöig,snowy
snöa,snow
regnig,rainy
solig,sunny
årstid,season
dålig,bad
värre,worse
värst,worst
räcka,hand
Det räcker nu,Enough
stå,stand
fot,foot
en fot/fötter,a foot / feet
en hand/händer,hand / hands
skydda,protect
en energi -er,an energy -s
röra på sig,move
torr,dry
Självständiga pronomen,Independent pronouns
Uttal,pronunciation
veta,know
bli av,get rid of
ovanligt,unusual
behöver,requires
städa,clean
förenta,united
mål,goal
tråkigt,dull
skolungdom,schoolchildren
röker,smoke
tyst,silent
ensam i skogen,alone in the woods
föredrar,prefer
förklarar att,explains that
verkar gilla,seems like
siffror,figures
fattigdom,poverty
välbefinnande,well-being
jämställdhet,equality
minskad ojämlikhet,reducing inequality
bekämpa,"combat,  fight"
hav,sea
mening,sentence
Översätt,translate
bestämt,decided
skillnader,differences
läxor,homework
skimmer,shimmer
bränt,burned
härja,ravage
utbildningssystemet,academic
lov,permission
föreläsning,lecture
rast,break
grundskolan,primary school
komvux,komvux
ämne,subject
en del av året,part of the year
ledigt,free
flesta,most
förskola,kindergarten
jullov,christmas holidays
ämnen,substances
fordonsprogram,automotive applications
naturvetenskapsprogrammet,natural science
ung,young
väljer,select
något,something
hyra,rent
Omdömen,reviews
dyr,expensive
varierad,varied
rädd,afraid
samtalsämne,topic of conversation
bero,depend
beror,depend
våren,spring
runt,around
ligger,is located
medan,while
innan,before
trots att,although
jättetrött,tired
svettig,sweaty
mår,feel
sökte,searched
fick,got
hoppade av,jumped off
skolkade,truant
kom in,come in
plugghäst,grind
ställe,place
gymmet,gym
nära,near
Det var en kursare,It was a classmates
Jag förstod inte riktigt,I did not really understand
stannat,stayed
Maskinteknik,mechanical engineering
Vilken skillnad,What a difference
tidigare,earlier
nuvarande,current
Berätta,tell
tempus,tense
sammanlagt,total
alltid,always
lägenhet,apartment
bostadsrätt,condominium
månadsavgift,monthly fee
vissa,some
uteplats,patio
kakelugn,tiled stove
spis,stove
vanligtvis,usually
kokvrå,kitchenette
förråd,storehouse
källaren,basement
gemensam,common
tvättstuga,laundry
hur,how
räknar,counts
utom,except
som,as
parhus,semi-detached
tomt,plot
vattnet,water
strax,just
huvudstad,capital
tillsammans,together
Sant,truly
fortsätter,continues
senaste dygnet,last days
smutsig,dirty
Varför då?,Why?
Förklara! ,explain!
Berätta mer! ,Tell me more!
När då? När?,When then? When?
Var? Vardå?,Where? Worth?
Jag förstår,I understand
gula,yellow
Oj det var dyrt!,Oops  it was expensive!
Oj det var inte bra! ,Oh it was not good!
händelse,event
frisör,hairdresser
suckar,sighs
förlorad,lost
hörlurar,headphones
hyllan,shelf
ordentligt,proper
julgran,christmas tree
vägg,wall
Du ser trött ut ,You look tired
golv,floor
Inte alls,Not at all
Du ser ambitiös ut,You look out ambitious
ledsen,upset
förvånad,amazed
vardagsrummet,the living room
fönster,window
krukväxt,potted flower
trappor,stairs
källarförråd,cellar
